P.SYMBOL,P.DATE,P.PRICE,EST.S.DATE,EST.S.PRICE,T.DATE,T.PRICE,STATUS,PROFITPCT,PROFITPCT252D,DATEPCT,PRICEPCT
ASX-ANZ,2020-01-21,25.51,2020-10-09,26.58,2020-02-13,26.58,CLOSED,4.19,46.0,9.0,100.0
ASX-A2M,2020-01-22,15.59,2020-07-05,23.89,2020-03-05,16.61,OPEN,6.54,38.0,26.0,12.0
ASX-VVR,2020-01-22,2.75,2020-03-10,2.89,2020-02-17,2.89,CLOSED,5.09,49.0,54.0,100.0
ASX-VVR,2020-01-22,2.75,2020-07-06,3.05,2020-03-05,2.77,OPEN,0.73,4.0,26.0,7.0
ASX-VVR,2020-01-22,2.75,2020-10-04,2.91,2020-02-17,2.91,CLOSED,5.82,56.0,10.0,100.0
ASX-A2M,2020-01-22,15.59,2020-04-15,19.81,2020-03-05,16.61,OPEN,6.54,38.0,51.0,24.0
ASX-VVR,2020-01-22,2.75,2020-02-13,2.83,2020-02-13,2.78,CLOSED,1.09,12.0,100.0,37.0
ASX-A2M,2020-01-22,15.59,2020-02-25,17.25,2020-02-25,15.14,CLOSED,-2.89,-21.0,100.0,-27.0
ASX-A2M,2020-01-22,15.59,2020-10-24,34.02,2020-03-05,16.61,OPEN,6.54,38.0,16.0,6.0
ASX-BOQ,2020-01-22,7.4,2020-12-09,8.02,2020-03-05,7.24,OPEN,-2.16,-13.0,13.0,-26.0
0175.HK,2020-01-22,14.1,2020-11-15,18.96,2020-03-04,14.1,OPEN,0.0,0.0,14.0,0.0
DLR,2020-01-22,126.28,2020-07-24,139.05,2020-03-04,134.98,OPEN,6.89,41.0,23.0,68.0
RIO,2020-01-22,60.5,2020-10-06,68.82,2020-03-04,51.48,OPEN,-14.91,-89.0,16.0,-108.0
ASX-A2M,2020-01-23,15.31,2020-03-10,18.0,2020-03-05,16.61,OPEN,8.49,51.0,89.0,48.0
ASX-A2M,2020-01-23,15.31,2020-08-10,19.97,2020-03-05,16.61,OPEN,8.49,51.0,21.0,28.0
ASX-A2M,2020-01-23,15.31,2020-06-09,18.2,2020-03-05,16.61,OPEN,8.49,51.0,30.0,45.0
ASX-A2M,2020-01-23,15.31,2020-10-07,15.72,2020-02-17,15.72,CLOSED,2.68,27.0,10.0,100.0
ASX-A2M,2020-01-23,15.31,2020-02-13,16.63,2020-02-13,15.2,CLOSED,-0.72,-9.0,100.0,-8.0
